ma_len,us10y_th,vix_th,rsi_th,risk_pos,cagr,max_dd,calmar,avg_exposure,dd_peak,dd_trough
150,0.08,40,32,0.6,0.13020431360558904,-0.23902407550527172,0.5447330497162298,78.78213802435722,2020-02-19,2020-03-23
150,0.08,40,35,0.6,0.13020431360558904,-0.23902407550527172,0.5447330497162298,78.78213802435722,2020-02-19,2020-03-23
150,0.08,45,32,0.6,0.13020431360558904,-0.23902407550527172,0.5447330497162298,78.78213802435722,2020-02-19,2020-03-23
150,0.08,45,35,0.6,0.13020431360558904,-0.23902407550527172,0.5447330497162298,78.78213802435722,2020-02-19,2020-03-23
120,0.08,45,32,0.7,0.13020119763330862,-0.26489483726786767,0.491520329260499,83.91407307171855,2020-02-19,2020-03-23
120,0.08,45,35,0.7,0.13020119763330862,-0.26489483726786767,0.491520329260499,83.91407307171855,2020-02-19,2020-03-23
180,0.12,45,32,0.7,0.13020013370459016,-0.26489483726786733,0.4915163128412691,85.54803788903925,2020-02-19,2020-03-23
150,0.1,35,30,0.7,0.1301673450505687,-0.26489483726786744,0.49139253295050306,84.75642760487143,2020-02-19,2020-03-23
180,0.15,38,32,0.7,0.130163617891917,-0.2648948372678672,0.4913784626171963,86.62381596752368,2020-02-19,2020-03-23
180,0.15,40,32,0.7,0.130163617891917,-0.2648948372678672,0.4913784626171963,86.62381596752368,2020-02-19,2020-03-23
200,0.12,35,35,0.7,0.13013033296324084,-0.26489483726786756,0.49125280924841186,85.38565629228687,2020-02-19,2020-03-23
200,0.1,38,32,0.7,0.13012452918706074,-0.2648948372678678,0.4912308995115515,84.54330175913395,2020-02-19,2020-03-23
200,0.1,40,32,0.7,0.13012452918706074,-0.2648948372678678,0.4912308995115515,84.54330175913395,2020-02-19,2020-03-23
120,0.15,38,35,0.7,0.13011635214594475,-0.26489483726786733,0.4912000305025511,86.52232746955345,2020-02-19,2020-03-23
120,0.15,40,35,0.7,0.13011635214594475,-0.26489483726786733,0.4912000305025511,86.52232746955345,2020-02-19,2020-03-23
200,0.15,35,35,0.7,0.13010166590843997,-0.26489483726786744,0.49114458873684397,86.47158322056833,2020-02-19,2020-03-23
150,0.15,38,35,0.6,0.1300830310498371,-0.23902407550527138,0.5442256424372961,82.3274695534506,2020-02-19,2020-03-23
150,0.15,40,35,0.6,0.1300830310498371,-0.23902407550527138,0.5442256424372961,82.3274695534506,2020-02-19,2020-03-23
200,0.12,35,30,0.7,0.13006703591602964,-0.2648948372678671,0.4910138576408085,85.36535859269281,2020-02-19,2020-03-23
200,0.08,35,30,0.7,0.13006171164751357,-0.2648948372678671,0.4909937580851849,83.80243572395128,2020-02-19,2020-03-23
150,0.12,38,32,0.6,0.13004604035615341,-0.2390240755052716,0.5440708852497383,80.86603518267928,2020-02-19,2020-03-23
150,0.12,40,32,0.6,0.13004604035615341,-0.2390240755052716,0.5440708852497383,80.86603518267928,2020-02-19,2020-03-23
120,0.15,45,30,0.7,0.1300309734060756,-0.26489483726786744,0.4908777186721289,86.51217861975643,2020-02-19,2020-03-23
200,0.1,45,35,0.7,0.12995065250639937,-0.26489483726786744,0.49057450060829394,84.563599458728,2020-02-19,2020-03-23
200,0.1,45,30,0.7,0.1298873655228434,-0.26489483726786733,0.49033558699182395,84.54330175913395,2020-02-19,2020-03-23
120,0.12,45,35,0.7,0.12986473818252797,-0.26489483726786744,0.49025016690380385,85.4871447902571,2020-02-19,2020-03-23
120,0.08,38,32,0.7,0.1298573722333476,-0.26489483726786767,0.4902223598341891,83.90392422192151,2020-02-19,2020-03-23
120,0.08,38,35,0.7,0.1298573722333476,-0.26489483726786767,0.4902223598341891,83.90392422192151,2020-02-19,2020-03-23
120,0.08,40,32,0.7,0.1298573722333476,-0.26489483726786767,0.4902223598341891,83.90392422192151,2020-02-19,2020-03-23
120,0.08,40,35,0.7,0.1298573722333476,-0.26489483726786767,0.4902223598341891,83.90392422192151,2020-02-19,2020-03-23
120,0.12,45,30,0.7,0.12980145601091553,-0.26489483726786733,0.49001127145282003,85.46684709066305,2020-02-19,2020-03-23
100,0.15,45,32,0.7,0.12979772489428942,-0.26489483726786733,0.48999718617783095,86.5020297699594,2020-02-19,2020-03-23
200,0.15,45,35,0.6,0.12978779654062733,-0.23902407550527138,0.5429904760274453,82.04330175913395,2020-02-19,2020-03-23
