vix_warning_low,vix_warning_high,vix_risk_low,vix_risk_high,vix_crash_th,vix_extreme_th,panic_drop_pct,risk_warning_pos,panic_reversal_pos,risk_warning_confirm_days,risk_warning_gap_buy_pct,risk_repair_vix_th,risk_repair_gap_buy_pct,risk_on_gap_buy_pct,panic_gap_buy_pct,cagr,max_dd,calmar,vol,sharpe,total_turnover,annual_turnover,trade_count,avg_position,time_in_market,worst_year,recovery_days,total_ret,score
15,20,20,30,30,45,0.015,0.6,0.4,3,0.2,20,0.5,1.0,0.5,0.09802867379044544,-0.1281391942806488,0.7650170920830384,0.08849988117608244,1.107670117606194,195.98093289999997,18.00805930609434,561,0.6399696401315492,63.99696401315492,-0.06142588513712366,399,1.7669221696969668,0.26495592067863244
15,20,20,30,30,45,0.015,0.6,0.4,3,0.2,20,0.67,1.0,1.0,0.09802669456646562,-0.12813919428064857,0.7650016461924133,0.08879182610233553,1.1040058400588202,201.11073207576214,18.479420098282297,560,0.6417299637443035,64.17299637443034,-0.06447660305918235,399,1.766867892020756,0.25079965102236895
15,20,20,30,30,45,0.015,0.6,0.4,2,0.2,20,0.67,1.0,0.5,0.0980123014834462,-0.12813919428064882,0.7648893223784513,0.08872550461938979,1.1046688537179297,198.33753207576214,18.224599645452106,572,0.6412656679696556,64.12656679696556,-0.06142588513712366,399,1.7664732092819113,0.2583319407933123
15,20,20,30,30,45,0.015,0.6,0.4,3,0.33,20,0.5,1.0,0.5,0.0980102803152858,-0.128139194280649,0.764873549154873,0.08866254107061317,1.1054305361858268,196.9524921560479,18.09733276981044,561,0.640712323847405,64.0712323847405,-0.06142588513712366,399,1.7664177895182656,0.2621341738389837
15,20,20,30,30,45,0.015,0.6,0.4,3,0.33,20,0.67,1.0,1.0,0.09800784044545852,-0.12813919428064857,0.7648545083778441,0.08895059467132542,1.101823330216058,202.02577939879126,18.56350086173799,560,0.6424443575308187,64.24443575308187,-0.06447660305918235,399,1.7663508904362573,0.24813009030412897
15,20,20,30,30,45,0.025,0.6,0.4,2,0.33,20,0.67,1.0,0.5,0.09798825510479614,-0.12813919428064868,0.7647016641152248,0.08874627864620034,1.1041393126515227,197.30244379879127,18.129488703775728,504,0.6410749112558188,64.10749112558189,-0.05830461979314927,399,1.765813930869916,0.26099761078037725
15,20,20,30,30,45,0.015,0.6,0.4,2,0.25,20,0.67,1.0,0.5,0.09797093287592107,-0.12813919428064868,0.7645664812075101,0.08880262567414879,1.1032436499728548,198.88156863229338,18.274589419608844,572,0.6416179395817795,64.16179395817795,-0.06142588513712366,399,1.7653390965628715,0.2565094063976692
15,20,20,30,30,45,0.025,0.6,0.4,3,0.25,20,0.5,1.0,1.0,0.09796706435260383,-0.1281391942806493,0.7645362911993754,0.08843325972826098,1.107807906817395,194.2882568359375,17.852524731905955,492,0.6393118958406044,63.93118958406044,-0.06009942654607936,399,1.7652330633021993,0.26914115702061986
15,20,20,30,30,45,0.025,0.6,0.4,3,0.2,20,0.5,1.0,1.0,0.09796676228402723,-0.12813919428064882,0.7645339338521333,0.0883643464525345,1.1086684417074337,193.8659329,17.813718740056604,492,0.6389973690047887,63.899736900478864,-0.06009942654607936,399,1.7652247839893178,0.27030297942885934
15,20,20,30,30,45,0.025,0.6,0.4,2,0.2,20,0.67,1.0,1.0,0.09796499429722783,-0.1281391942806488,0.7645201364593114,0.08859212405629316,1.105798007901684,196.29882007576214,18.037268939037013,504,0.6403202047228246,64.03202047228245,-0.06009942654607936,399,1.7651763261865234,0.26358267606662505
15,20,20,30,30,45,0.025,0.6,0.4,3,0.33,20,0.5,1.0,1.0,0.09793960074397456,-0.12813919428064868,0.764321964827316,0.08852714423830921,1.1063228299822667,194.8764921560479,17.906575788678364,492,0.6397331865234613,63.97331865234614,-0.06009942654607936,399,1.7644804129673926,0.2673052989453894
